booking_month,total_bookings,total_booking_value,confirmed_fraud,fraud_rate_percent,fraudulent_booking_value
2025-01,269,290426.29,24,8.92,52329.28
2026-04,589,589241.19,34,5.77,68636.87
2026-05,687,707669.41,47,6.84,92202.43
2026-03,569,603140.99,34,5.98,68839.94
2025-12,388,414334.25,28,7.22,59063.74
2025-08,312,317456.56,17,5.45,37136.69
2026-01,481,518501.89,29,6.03,61564.27
2025-04,291,314746.35,18,6.19,34346.68
2026-06,740,783124.28,54,7.30,104484.33
2026-02,456,453508.48,27,5.92,51543.61
2025-03,273,284280.38,20,7.33,43230.22
2025-11,397,415339.94,20,5.04,41872.91
2025-07,354,355992.78,17,4.80,29312.19
2025-09,357,371787.55,13,3.64,29109.02
2026-07,617,675520.93,33,5.35,71043.64
2025-06,297,302988.75,18,6.06,33873.12
2025-02,241,255030.81,17,7.05,35623.97
2025-10,390,385698.78,19,4.87,42112.85
2025-05,292,304111.46,11,3.77,26434.58
