booking_id,customer_id,booking_date,departure_date,departure_airport,arrival_airport,booking_amount,currency_code,passenger_count,booking_status,device_id,ip_address,ip_country_code
1,234,2025-01-17 12:52:04,2025-01-28,LOS,ATH,910.60,GBP,1,Confirmed,DEV-SHARED-049,139.178.13.233,NG
2,1699,2026-04-28 18:10:07,2026-08-18,AMS,MUC,1396.92,GBP,2,Confirmed,DEV-001699,191.121.67.233,GB
3,551,2026-05-28 00:56:12,2026-11-14,LAX,AMS,938.83,GBP,2,Confirmed,DEV-000551,149.40.141.230,GB
4,1785,2026-04-25 23:24:35,2026-06-26,ORD,OTP,1542.35,GBP,1,Confirmed,DEV-SHARED-092,90.55.39.130,ES
5,1395,2026-05-16 18:33:33,2026-05-17,MAN,JFK,274.46,GBP,2,Completed,DEV-001395,28.108.160.131,NL
6,460,2026-03-16 03:51:51,2026-08-13,OTP,FRA,1118.82,GBP,2,Confirmed,DEV-000460,205.185.118.117,US
7,742,2026-05-23 10:57:09,2026-07-23,JFK,SKG,668.54,GBP,1,Completed,DEV-000742,108.75.253.162,NL
8,1457,2025-12-31 22:49:48,2026-02-04,ORY,LAX,1261.58,GBP,1,Confirmed,DEV-001457,152.55.23.19,RO
9,978,2025-08-04 13:13:44,2026-01-04,MUC,MXP,1408.43,GBP,2,Confirmed,DEV-000978,88.24.218.74,AL
10,1064,2026-01-25 01:32:09,2026-07-04,CDG,DXB,566.36,GBP,3,Pending Review,DEV-001064,53.86.14.154,IT
11,1883,2025-04-04 03:51:16,2025-07-26,AMS,ORD,194.13,GBP,3,Completed,DEV-001883,189.37.161.229,FR
12,544,2026-01-19 13:47:35,2026-03-10,AUH,AGP,473.83,GBP,1,Confirmed,DEV-000544,68.194.120.164,US
13,1632,2026-05-05 08:33:49,2026-08-07,TIA,ORD,492.15,GBP,1,Completed,DEV-001632,102.65.247.216,US
14,1604,2026-06-12 20:12:38,2026-06-13,TIA,HER,523.88,GBP,2,Completed,DEV-001604,53.56.168.34,NL
15,742,2026-02-20 21:56:02,2026-04-04,AMS,FCO,635.21,GBP,4,Confirmed,DEV-000742,41.144.154.7,US
16,311,2025-03-16 05:18:19,2025-06-27,SKG,VCE,935.53,GBP,2,Confirmed,DEV-000311,72.247.145.233,AL
17,1998,2025-11-22 16:00:32,2026-01-23,OTP,ORY,751.36,GBP,1,Confirmed,DEV-001998,158.242.119.16,FR
18,75,2026-02-06 16:07:53,2026-07-12,AMS,VCE,77.96,GBP,1,Confirmed,DEV-000075,20.192.65.194,NG
19,869,2026-02-01 14:54:31,2026-06-18,JFK,LOS,1140.31,GBP,2,Confirmed,DEV-000869,134.104.190.133,AL
20,308,2026-01-01 10:38:00,2026-01-01,LOS,LGW,338.19,GBP,2,Confirmed,DEV-000308,211.218.156.95,IT
21,366,2025-07-24 05:30:44,2025-08-28,NCE,FRA,909.28,GBP,1,Confirmed,DEV-000366,37.84.243.224,GR
22,967,2025-09-12 01:23:15,2025-10-15,LOS,BER,631.95,GBP,2,Completed,DEV-000967,114.250.128.176,FR
23,438,2026-04-25 05:13:57,2026-06-15,LHR,LOS,325.80,GBP,3,Cancelled,DEV-SHARED-040,165.245.203.12,RO
24,213,2026-05-11 16:59:51,2026-10-17,MUC,NCE,288.91,GBP,1,Confirmed,DEV-SHARED-057,218.162.86.232,AL
25,134,2026-02-18 22:19:49,2026-06-29,VCE,HER,1793.30,GBP,4,Confirmed,DEV-000134,23.237.45.30,AL
26,1531,2025-04-14 02:21:22,2025-07-23,TIA,ORD,324.37,GBP,3,Completed,DEV-001531,134.230.87.10,DE
27,1522,2026-03-12 10:47:48,2026-03-12,OTP,MAN,738.33,GBP,3,Confirmed,DEV-001522,92.4.81.108,ES
28,1180,2026-06-11 22:12:00,2026-10-13,OTP,HER,430.93,GBP,1,Confirmed,DEV-001180,43.153.101.244,DE
29,634,2025-07-08 21:01:23,2025-11-05,JFK,LGW,728.18,GBP,4,Confirmed,DEV-000634,26.241.201.179,DE
30,1517,2026-07-07 22:28:42,2026-07-09,MUC,TIA,406.04,GBP,1,Confirmed,DEV-001517,168.92.217.39,RO
31,816,2026-06-16 11:56:01,2026-07-16,LOS,DXB,188.09,GBP,4,Completed,DEV-SHARED-041,78.217.132.190,AL
32,1259,2026-04-10 16:48:29,2026-08-09,MUC,BCN,243.70,GBP,3,Completed,DEV-001259,5.228.166.77,NL
33,563,2025-12-08 06:28:00,2026-06-05,MXP,TIA,1382.93,GBP,1,Completed,DEV-SHARED-042,109.205.11.48,US
34,1105,2025-07-09 07:52:26,2025-07-24,FRA,LHR,745.80,GBP,4,Cancelled,DEV-001105,201.212.66.71,DE
35,710,2025-12-12 03:54:02,2026-04-21,AMS,LAX,1067.05,GBP,3,Confirmed,DEV-000710,116.239.15.40,NG
36,1944,2025-04-06 22:05:42,2025-04-06,OTP,BER,228.09,GBP,3,Completed,DEV-001944,28.162.200.58,IT
37,786,2026-03-27 14:55:32,2026-07-15,OTP,AUH,979.44,GBP,4,Confirmed,DEV-000786,6.199.98.218,US
38,1993,2025-12-25 09:14:07,2026-01-25,HER,BER,1267.32,GBP,1,Completed,DEV-001993,166.12.224.124,ES
39,1900,2026-02-02 08:09:50,2026-05-28,TIA,ORY,247.28,GBP,3,Confirmed,DEV-SHARED-022,165.37.234.231,RO
40,54,2025-06-21 16:08:24,2025-11-15,ATH,FRA,486.15,GBP,2,Confirmed,DEV-000054,150.155.75.150,DE
41,1203,2026-07-07 15:38:11,2026-10-13,NCE,AGP,1393.37,GBP,3,Confirmed,DEV-001203,203.61.100.92,GB
42,556,2026-03-06 17:58:12,2026-07-24,AGP,LGW,1456.75,GBP,3,Confirmed,DEV-000556,24.97.32.232,US
43,171,2026-01-05 17:57:02,2026-01-07,MAN,LAX,2517.10,GBP,4,Pending Review,DEV-000171,127.90.168.130,ES
44,194,2025-12-11 05:48:56,2026-06-07,LOS,MAD,331.01,GBP,3,Cancelled,DEV-000194,197.202.87.219,RO
45,725,2025-09-02 22:29:15,2025-12-22,ORY,AUH,1159.89,GBP,3,Confirmed,DEV-000725,7.164.218.203,AL
46,1950,2025-02-05 17:30:04,2025-05-18,TIA,AGP,1368.80,GBP,1,Confirmed,DEV-SHARED-082,106.77.77.151,ES
47,534,2026-06-01 09:09:48,2026-08-17,LAX,AMS,270.73,GBP,2,Completed,DEV-000534,86.101.132.66,DE
48,1870,2026-02-22 22:37:29,2026-07-19,VCE,OTP,115.85,GBP,2,Confirmed,DEV-001870,147.239.97.193,NG
49,1179,2025-10-23 22:30:44,2026-04-21,NCE,LOS,1425.41,GBP,3,Confirmed,DEV-001179,168.102.181.229,AL
50,646,2025-06-28 17:26:48,2025-08-21,LGW,AMS,676.30,GBP,4,Completed,DEV-SHARED-049,53.194.63.24,GR
51,1936,2025-12-21 22:14:07,2025-12-22,LOS,DXB,642.04,GBP,4,Confirmed,DEV-001936,71.165.23.37,ES
52,1918,2026-02-05 09:41:57,2026-07-29,LGW,ATH,1326.20,GBP,1,Completed,DEV-001918,189.73.208.12,FR
53,860,2026-07-13 19:19:07,2026-11-14,LAX,LOS,663.14,GBP,1,Confirmed,DEV-SHARED-061,192.100.64.57,AL
54,579,2026-04-23 16:42:08,2026-06-22,HER,ORD,1113.21,GBP,2,Completed,DEV-000579,218.17.197.162,GR
55,1757,2026-03-09 02:47:37,2026-08-06,BER,SKG,1488.57,GBP,4,Confirmed,DEV-001757,170.49.175.196,GR
56,1925,2025-09-02 05:18:38,2026-01-12,MAN,OTP,1241.82,GBP,3,Confirmed,DEV-SHARED-094,178.85.191.41,AE
57,959,2025-09-08 01:02:51,2025-11-26,MAD,BER,1776.46,GBP,4,Confirmed,DEV-000959,108.200.99.64,FR
58,1074,2025-07-22 16:49:48,2025-12-25,LHR,TIA,1013.74,GBP,3,Completed,DEV-SHARED-097,110.86.249.195,DE
59,1577,2025-08-06 15:22:22,2025-10-18,ATH,AUH,984.94,GBP,3,Completed,DEV-SHARED-092,144.192.195.11,FR
60,1615,2025-12-08 22:45:47,2026-05-06,FCO,ORD,123.27,GBP,4,Confirmed,DEV-001615,117.129.183.210,GB
61,1671,2026-07-12 04:13:51,2026-08-06,ORY,LAX,950.84,GBP,4,Completed,DEV-001671,207.224.185.194,US
62,1225,2026-05-31 02:45:39,2026-08-09,JFK,CDG,1874.18,GBP,4,Completed,DEV-001225,141.79.140.7,IT
63,394,2026-04-10 01:34:01,2026-08-23,CDG,HER,966.35,GBP,3,Confirmed,DEV-000394,35.164.126.204,NL
64,459,2025-12-28 09:34:04,2026-01-13,FCO,AUH,695.72,GBP,3,Confirmed,DEV-000459,146.129.14.183,RO
65,834,2025-10-15 00:41:57,2026-04-10,DXB,CDG,1302.85,GBP,2,Confirmed,DEV-000834,8.253.61.85,RO
66,704,2025-05-23 03:10:24,2025-05-24,AMS,BER,684.99,GBP,1,Confirmed,DEV-000704,16.191.48.44,ES
67,1154,2025-10-19 03:26:59,2025-12-05,BCN,OTP,957.23,GBP,2,Cancelled,DEV-001154,160.19.61.207,FR
