chargeback_id,payment_id,chargeback_date,chargeback_amount,chargeback_reason
1,19,2026-03-02,1140.31,Service not received
2,34,2025-08-02,745.80,Card reported stolen
3,43,2026-02-04,2517.10,Card reported stolen
4,75,2026-01-08,2254.62,Service not received
5,83,2025-09-20,2129.75,Cardholder did not recognise transaction
6,91,2025-11-29,2986.20,Card reported stolen
7,127,2025-06-26,931.55,Cardholder did not recognise transaction
8,139,2026-08-08,2193.93,Service not received
9,176,2026-06-08,1987.41,Service not received
10,185,2026-08-04,724.93,Fraudulent transaction
11,216,2026-05-06,3041.74,Duplicate transaction
12,230,2025-04-10,1818.64,Fraudulent transaction
13,242,2025-08-26,1563.82,Card reported stolen
14,246,2026-01-15,3151.76,Duplicate transaction
15,265,2025-09-10,2985.54,Duplicate transaction
16,273,2026-04-12,1933.31,Duplicate transaction
17,290,2025-03-13,1353.96,Cardholder did not recognise transaction
18,292,2025-11-09,2350.75,Duplicate transaction
19,294,2025-06-01,2548.63,Fraudulent transaction
20,307,2026-05-21,1950.12,Fraudulent transaction
21,308,2025-11-15,423.34,Cardholder did not recognise transaction
22,342,2026-06-03,1690.59,Service not received
23,350,2025-04-03,2511.52,Cardholder did not recognise transaction
24,352,2026-03-11,2304.42,Card reported stolen
25,359,2026-08-08,2204.34,Fraudulent transaction
26,369,2025-07-02,2758.63,Duplicate transaction
27,372,2026-06-14,2462.33,Cardholder did not recognise transaction
28,376,2025-11-30,2017.27,Duplicate transaction
29,382,2025-07-20,1381.31,Fraudulent transaction
30,396,2025-12-22,1143.93,Cardholder did not recognise transaction
31,443,2025-04-11,2483.27,Service not received
32,454,2025-11-29,923.11,Duplicate transaction
33,465,2026-03-07,996.45,Card reported stolen
34,466,2025-04-12,2355.88,Service not received
35,508,2025-10-05,1713.37,Service not received
36,551,2025-06-05,2679.29,Duplicate transaction
37,557,2025-02-12,2803.60,Fraudulent transaction
38,598,2026-07-25,1034.31,Service not received
39,613,2026-06-12,2002.23,Card reported stolen
40,626,2025-11-11,2868.04,Cardholder did not recognise transaction
41,628,2025-03-10,2568.09,Duplicate transaction
42,630,2026-02-26,2068.59,Cardholder did not recognise transaction
43,641,2026-01-15,2234.87,Duplicate transaction
44,670,2025-07-01,1262.07,Card reported stolen
45,705,2026-06-17,1070.26,Fraudulent transaction
46,754,2025-08-21,2933.22,Fraudulent transaction
47,789,2026-04-26,1609.93,Service not received
48,791,2026-08-10,2237.83,Fraudulent transaction
49,827,2026-01-10,2093.61,Card reported stolen
50,833,2025-10-04,1110.44,Service not received
51,853,2026-06-03,1737.04,Fraudulent transaction
52,871,2026-05-08,3076.21,Fraudulent transaction
53,882,2026-06-30,1342.87,Service not received
54,890,2026-07-11,112.22,Duplicate transaction
55,901,2026-08-08,261.34,Cardholder did not recognise transaction
56,938,2025-04-22,2845.97,Duplicate transaction
57,947,2025-07-21,2160.96,Duplicate transaction
58,967,2026-02-25,2252.37,Fraudulent transaction
59,1026,2026-05-26,3025.73,Service not received
60,1039,2026-04-04,3054.54,Card reported stolen
61,1042,2025-04-06,3175.78,Duplicate transaction
62,1061,2026-04-19,391.78,Cardholder did not recognise transaction
63,1063,2026-04-20,3085.08,Duplicate transaction
64,1092,2025-07-07,1193.35,Duplicate transaction
65,1104,2026-07-08,912.97,Duplicate transaction
66,1124,2026-08-07,1553.19,Card reported stolen
67,1128,2025-11-01,575.38,Card reported stolen
68,1130,2026-01-11,1875.26,Card reported stolen
69,1142,2026-06-23,3185.94,Card reported stolen
70,1152,2026-07-11,2252.17,Card reported stolen
71,1183,2026-03-23,300.99,Card reported stolen
72,1214,2026-05-02,1540.75,Cardholder did not recognise transaction
73,1241,2026-07-01,829.51,Service not received
74,1268,2026-08-27,1487.27,Fraudulent transaction
75,1294,2026-06-10,1442.76,Fraudulent transaction
76,1297,2025-10-02,3155.12,Duplicate transaction
77,1304,2025-08-07,1630.39,Card reported stolen
78,1307,2026-08-08,2500.16,Card reported stolen
79,1396,2026-03-20,1447.20,Fraudulent transaction
80,1426,2025-02-09,2188.54,Card reported stolen
81,1430,2025-06-14,2036.15,Fraudulent transaction
82,1480,2026-04-01,2303.72,Service not received
83,1553,2026-03-22,1263.27,Service not received
84,1576,2025-02-20,1997.93,Cardholder did not recognise transaction
85,1587,2026-06-29,2088.34,Service not received
86,1604,2026-05-22,359.67,Cardholder did not recognise transaction
87,1608,2025-05-15,2080.45,Duplicate transaction
88,1637,2025-07-02,2981.69,Service not received
89,1643,2026-02-01,2522.03,Card reported stolen
90,1657,2025-05-04,1465.85,Service not received
91,1674,2026-07-26,1610.33,Duplicate transaction
92,1687,2026-08-13,2534.61,Cardholder did not recognise transaction
93,1700,2026-05-30,1753.53,Card reported stolen
94,1727,2026-08-22,2288.44,Duplicate transaction
95,1734,2026-02-16,575.70,Duplicate transaction
96,1751,2026-05-08,552.02,Card reported stolen
97,1805,2026-03-08,2837.54,Duplicate transaction
98,1836,2025-04-08,2404.77,Fraudulent transaction
99,1846,2025-02-24,2735.36,Card reported stolen
100,1848,2026-04-11,1403.63,Cardholder did not recognise transaction
101,1865,2025-05-31,2575.55,Duplicate transaction
102,1866,2026-04-11,1152.84,Cardholder did not recognise transaction
103,1889,2025-12-17,643.18,Cardholder did not recognise transaction
104,1899,2026-07-05,958.37,Service not received
105,1901,2025-08-13,3092.76,Duplicate transaction
106,1931,2026-02-19,2880.63,Cardholder did not recognise transaction
107,1934,2025-07-05,916.53,Service not received
108,1939,2025-11-05,3068.01,Duplicate transaction
109,1952,2026-04-20,2037.41,Service not received
110,1969,2026-07-14,86.08,Cardholder did not recognise transaction
111,1978,2026-04-27,2406.06,Fraudulent transaction
112,2020,2025-07-30,87.08,Duplicate transaction
113,2030,2026-06-05,166.20,Duplicate transaction
114,2044,2025-05-21,265.86,Fraudulent transaction
115,2050,2026-02-02,2838.24,Cardholder did not recognise transaction
116,2052,2026-02-09,2481.01,Cardholder did not recognise transaction
117,2060,2026-05-18,1402.26,Duplicate transaction
118,2069,2025-06-26,2297.35,Fraudulent transaction
119,2124,2026-07-23,2584.22,Fraudulent transaction
120,2138,2025-08-03,1334.36,Service not received
121,2142,2026-08-23,1113.04,Service not received
122,2155,2026-01-30,1071.47,Duplicate transaction
123,2167,2026-06-03,872.13,Fraudulent transaction
124,2192,2025-04-15,1931.62,Duplicate transaction
125,2217,2025-11-17,1412.45,Service not received
126,2235,2026-03-05,622.48,Cardholder did not recognise transaction
127,2269,2026-04-06,971.16,Fraudulent transaction
128,2274,2025-09-25,966.88,Cardholder did not recognise transaction
129,2277,2025-10-28,155.55,Service not received
130,2281,2026-04-13,2928.50,Duplicate transaction
131,2292,2026-03-03,786.65,Card reported stolen
132,2316,2025-07-25,2616.65,Fraudulent transaction
133,2322,2026-07-19,1846.48,Duplicate transaction
134,2344,2025-10-09,1404.78,Fraudulent transaction
135,2360,2026-01-13,2239.12,Service not received
136,2397,2026-06-04,518.07,Cardholder did not recognise transaction
137,2444,2025-02-13,2264.25,Duplicate transaction
138,2481,2026-05-20,840.93,Duplicate transaction
139,2482,2025-11-21,2832.35,Duplicate transaction
140,2486,2026-01-19,1887.48,Duplicate transaction
141,2492,2025-06-01,1253.10,Card reported stolen
142,2499,2026-03-03,3063.90,Card reported stolen
143,2543,2026-05-04,1443.02,Fraudulent transaction
144,2574,2025-04-17,1571.98,Service not received
145,2601,2026-01-31,1057.08,Cardholder did not recognise transaction
146,2613,2026-04-28,1867.82,Fraudulent transaction
147,2652,2025-11-24,2080.09,Card reported stolen
148,2655,2025-10-28,1614.99,Card reported stolen
149,2711,2025-11-24,2431.31,Service not received
150,2741,2026-06-01,1939.91,Cardholder did not recognise transaction
151,2767,2026-07-14,531.48,Cardholder did not recognise transaction
152,2770,2026-06-13,2744.55,Service not received
153,2780,2026-04-22,2590.27,Fraudulent transaction
154,2811,2026-06-04,3053.59,Duplicate transaction
155,2815,2025-09-03,968.86,Card reported stolen
