booking_id,fraud_confirmed,investigation_status,investigation_date
1,0,Cleared,2025-01-19
2,0,Cleared,2026-05-19
3,0,Cleared,2026-06-19
4,0,Cleared,2026-05-08
5,0,Cleared,2026-05-20
6,0,Cleared,2026-04-03
7,0,Cleared,2026-06-02
8,0,Cleared,2026-01-15
9,0,Cleared,2025-08-29
10,0,Cleared,2026-01-30
11,0,Cleared,2025-04-13
12,0,Cleared,2026-02-11
13,0,Cleared,2026-05-13
14,0,Cleared,2026-06-15
15,0,Cleared,2026-03-11
16,0,Cleared,2025-04-01
17,0,Cleared,2025-11-28
18,0,Cleared,2026-02-11
19,0,Cleared,2026-02-18
20,0,Cleared,2026-01-26
21,0,Cleared,2025-08-09
22,0,Cleared,2025-09-27
23,0,Cleared,2026-05-21
24,0,Cleared,2026-06-03
25,0,Cleared,2026-03-20
26,0,Cleared,2025-05-02
27,0,Cleared,2026-04-02
28,0,Cleared,2026-06-14
29,0,Cleared,2025-07-21
30,0,Cleared,2026-07-22
31,0,Cleared,2026-06-24
32,0,Cleared,2026-04-27
33,0,Cleared,2025-12-19
34,0,Cleared,2025-07-28
35,0,Cleared,2025-12-18
36,0,Cleared,2025-04-29
37,0,Cleared,2026-04-05
38,0,Cleared,2026-01-07
39,0,Cleared,2026-02-08
40,0,Cleared,2025-07-04
41,0,Cleared,2026-07-19
42,0,Cleared,2026-03-23
43,1,Confirmed Fraud,2026-01-12
44,0,Cleared,2025-12-22
45,0,Cleared,2025-09-27
46,0,Cleared,2025-02-24
47,0,Cleared,2026-06-29
48,0,Cleared,2026-03-16
49,0,Cleared,2025-10-27
50,0,Cleared,2025-07-08
51,0,Cleared,2026-01-05
52,0,Cleared,2026-03-07
53,0,Cleared,2026-07-18
54,0,Cleared,2026-05-13
55,0,Cleared,2026-03-24
56,0,Cleared,2025-09-17
57,0,Cleared,2025-09-13
58,0,Cleared,2025-08-20
59,0,Cleared,2025-08-09
60,0,Cleared,2026-01-03
61,0,Cleared,2026-07-16
62,0,Cleared,2026-06-20
63,0,Cleared,2026-04-29
64,0,Cleared,2026-01-27
65,0,Cleared,2025-11-01
66,0,Cleared,2025-06-19
67,0,Cleared,2025-10-25
