payment_id,booking_id,payment_date,payment_amount,payment_method,card_id,card_country_code,payment_status,failed_attempts
1,1,2025-01-17 13:02:04,910.60,Amex,CARD-000234-1,DE,Successful,2
2,2,2026-04-28 18:11:07,1396.92,Amex,CARD-001699-2,GB,Successful,0
3,3,2026-05-28 01:06:12,938.83,Amex,CARD-000551-2,GB,Successful,0
4,4,2026-04-25 23:32:35,1542.35,Visa,CARD-001785-2,DE,Successful,1
5,5,2026-05-16 18:42:33,274.46,Amex,CARD-001395-2,NL,Successful,0
6,6,2026-03-16 03:57:51,1118.82,Visa,CARD-000460-2,US,Successful,0
7,7,2026-05-23 11:01:09,668.54,Mastercard,CARD-000742-1,AE,Successful,0
8,8,2025-12-31 22:55:48,1261.58,PayPal,CARD-001457-2,NL,Successful,3
9,9,2025-08-04 13:19:44,1408.43,PayPal,CARD-000978-2,AL,Successful,3
10,10,2026-01-25 01:33:09,566.36,Mastercard,CARD-001064-2,IT,Successful,0
11,11,2025-04-04 03:52:16,194.13,PayPal,CARD-001883-1,FR,Successful,0
12,12,2026-01-19 13:53:35,473.83,PayPal,CARD-SHARED-009,US,Successful,1
13,13,2026-05-05 08:41:49,492.15,PayPal,CARD-001632-1,US,Successful,2
14,14,2026-06-12 20:22:38,523.88,Visa,CARD-001604-2,NL,Successful,0
15,15,2026-02-20 22:00:02,635.21,Mastercard,CARD-000742-1,AE,Successful,0
16,16,2025-03-16 05:27:19,935.53,Mastercard,CARD-SHARED-084,DE,Successful,0
17,17,2025-11-22 16:08:32,751.36,Amex,CARD-SHARED-022,FR,Failed,4
18,18,2026-02-06 16:08:53,77.96,Mastercard,CARD-000075-2,NG,Successful,0
19,19,2026-02-01 15:04:31,1140.31,Amex,CARD-000869-2,AL,Successful,0
20,20,2026-01-01 10:48:00,338.19,PayPal,CARD-SHARED-082,NL,Successful,0
21,21,2025-07-24 05:31:44,909.28,Amex,CARD-000366-2,GR,Successful,0
22,22,2025-09-12 01:25:15,631.95,PayPal,CARD-SHARED-078,FR,Failed,0
23,23,2026-04-25 05:18:57,325.80,Amex,CARD-000438-2,RO,Successful,0
24,24,2026-05-11 17:09:51,288.91,Amex,CARD-000213-1,DE,Successful,1
25,25,2026-02-18 22:21:49,1793.30,Mastercard,CARD-000134-1,AL,Successful,0
26,26,2025-04-14 02:31:22,324.37,PayPal,CARD-001531-2,IT,Successful,0
27,27,2026-03-12 10:55:48,738.33,Amex,CARD-001522-2,ES,Successful,3
28,28,2026-06-11 22:22:00,430.93,Mastercard,CARD-001180-1,DE,Successful,0
29,29,2025-07-08 21:05:23,728.18,PayPal,CARD-000634-1,FR,Successful,0
